epoch,train_loss,iou,dice,precision,recall,accuracy,saved_model
1,0.216117,0.805171,0.892072,0.927504,0.859247,0.959128,Yes
2,0.133847,0.839031,0.912471,0.938922,0.887469,0.96653,Yes
3,0.106525,0.851752,0.919942,0.902363,0.938219,0.967899,Yes
4,0.091711,0.859468,0.924423,0.943068,0.906501,0.970862,Yes
5,0.089232,0.868467,0.929604,0.926322,0.932909,0.972224,Yes
6,0.094663,0.865779,0.928062,0.936399,0.919872,0.971966,No
7,0.085982,0.873885,0.932699,0.925916,0.939582,0.973344,Yes
8,0.079318,0.875287,0.933496,0.944076,0.923151,0.974143,Yes
9,0.074273,0.87292,0.932148,0.936901,0.927444,0.973458,No
10,0.077036,0.875395,0.933558,0.942867,0.924431,0.974133,Yes
11,0.074659,0.88174,0.937154,0.946812,0.927692,0.975541,Yes
12,0.071278,0.883425,0.938105,0.938029,0.93818,0.975663,Yes
13,0.068749,0.885557,0.939305,0.935566,0.943075,0.976041,Yes
14,0.067241,0.885706,0.939389,0.938028,0.940754,0.976135,Yes
15,0.067222,0.883635,0.938223,0.950189,0.926555,0.976014,No
16,0.070761,0.883008,0.93787,0.955296,0.921068,0.97601,No
17,0.073773,0.878963,0.935583,0.955321,0.916644,0.975186,No
18,0.065418,0.881854,0.937218,0.946663,0.92796,0.97556,No
19,0.061554,0.885942,0.939522,0.942351,0.93671,0.976294,Yes
20,0.063708,0.88653,0.939852,0.92795,0.952064,0.976045,Yes
21,0.064861,0.88605,0.939583,0.952253,0.927246,0.976558,No
22,0.0626,0.890622,0.942147,0.948345,0.93603,0.977402,Yes
23,0.059546,0.889225,0.941365,0.944327,0.93842,0.977019,No
24,0.058006,0.891934,0.942881,0.935097,0.950795,0.977354,Yes
25,0.059959,0.892764,0.943344,0.945327,0.94137,0.977772,Yes
26,0.055053,0.89135,0.942554,0.946818,0.938329,0.977516,No
27,0.058737,0.888827,0.941142,0.949119,0.933298,0.977052,No
28,0.062575,0.889249,0.941378,0.940646,0.942111,0.976934,No
29,0.059587,0.891444,0.942607,0.944292,0.940927,0.977475,No
30,0.05684,0.890416,0.942032,0.953025,0.931289,0.977469,No
31,0.054805,0.891827,0.942821,0.951538,0.934261,0.977723,No
32,0.052866,0.894999,0.944591,0.948505,0.940708,0.978305,Yes
33,0.050975,0.893884,0.943969,0.943618,0.944321,0.977963,No
34,0.054939,0.889804,0.941689,0.957341,0.926541,0.977443,No
35,0.05214,0.893402,0.9437,0.946448,0.940969,0.977929,No
36,0.051985,0.894571,0.944352,0.946592,0.942122,0.978173,No
37,0.051883,0.892058,0.94295,0.949786,0.936211,0.97773,No
38,0.049955,0.891372,0.942566,0.953128,0.932237,0.977667,No
39,0.048725,0.893783,0.943913,0.948737,0.939137,0.97806,No
40,0.050233,0.894148,0.944116,0.947779,0.940482,0.978113,No
41,0.051525,0.894801,0.94448,0.949438,0.939574,0.978285,No
42,0.04771,0.893173,0.943572,0.949379,0.937836,0.97795,No
43,0.048071,0.895173,0.944687,0.946286,0.943094,0.97829,Yes
44,0.048981,0.894924,0.944549,0.947615,0.941502,0.978269,No
45,0.048433,0.894796,0.944477,0.947769,0.941209,0.978246,No
46,0.04819,0.89589,0.945086,0.949322,0.940888,0.978506,Yes
47,0.046761,0.896368,0.945353,0.947056,0.943655,0.978553,Yes
48,0.046745,0.896401,0.945371,0.947969,0.942787,0.978581,Yes
49,0.047639,0.895689,0.944975,0.948735,0.941244,0.978452,No
50,0.046903,0.895147,0.944673,0.948235,0.941137,0.978329,No
